STRING ID - DO NOT EDIT!	ORIGINAL TEXT - DO NOT EDIT!	TRANSLATION - PLEASE WRITE YOUR TRANSLATION HERE USING EXCEL OR LIBREOFFICE
clock_dayno	Day	Giorno
gamestatus_rep	Republia	Republia
gamestatus_demo	Democria	Democria
morningstate_createkm	Your services are no longer required. Your family has been eliminated and you will be reassigned.	I tuoi servizi non sono più richiesti. La tua famiglia è stata eliminata e verrai riassegnato.
morningstate_createm1	Welcome to The [GOV] Times. You are the new editor-in-chief.\n\n	Benvenuto al [GOV] Times. Sei il nuovo Capo Redattore.\n\n
morningstate_createm2	The war with Antegria is over and the rebellion uprising has been crushed. Order is slowly returning to [GOV].\n\n	La guerra con Antegria è finita e l'insurrezione in atto è stata repressa. [GOV] sta lentamente ritornando all'ordine.\n\n
morningstate_createm3	The public is not loyal to the government.\n\n	Il pubblico non è fedele al governo.\n\n
morningstate_createm4	Freedom has returned to [GOV], but the public is skeptical.\n\n	La libertà è tornata a [GOV], ma il pubblico è scettico.\n\n
morningstate_createm5	It is your job to increase their loyalty by editing The [GOV] Times carefully. 	È tuo compito aumentare la loro fiducia pubblicando con cura il [GOV] Times. 
morningstate_createm6	Pick only stories that highlight the good things about [GOV] and its government.\n\n	Seleziona solo le notizie che mettono in risalto gli aspetti positivi di [GOV] e del suo governo.\n\n
morningstate_createm7_1	You have 3 days to raise the public's loyalty to 	Hai 3 giorni per aumentare la fedeltà del pubblico fino a 
morningstate_createm7_2	.\n\n	.\n\n
morningstate_createm8	We have found a new wife and child for you. 	Ti abbiamo procurato una nuova moglie e un nuovo figlio. 
morningstate_createm9	As a precaution against influence, we are keeping them in a safe location.	Per precauzione contro il condizionamento, li stiamo tenendo in un luogo sicuro.
morningstate_createm10	As a precaution against influence, we are keeping your wife and child in a safe location.	Per precauzione contro il condizionamento, stiamo tenendo tua moglie e tuo figlio in un luogo sicuro.
morningstate_createm11	You have completed your first task. The Great and Honorable Leader is pleased.\n\n	Hai completato il tuo primo compito. L'Onorevole Leader Supremo è compiaciuto.\n\n
morningstate_createm12_1	Continue to print positive articles and maintain a loyalty of at least 	Continua a stampare articoli positivi e mantieni una fedeltà di almeno il 
morningstate_createm12_2	.\n\n	.\n\n
morningstate_createm13	We must now work to increase readership. More minds is more power.\n\n	Dobbiamo lavorare per aumentare i lettori. Più menti equivalgono a maggior controllo.\n\n
morningstate_createm14_1	Attain at least 	Raggiungi almeno 
morningstate_createm14_2	 readers by the end of day 	 lettori entro la fine del giorno 
morningstate_createm15	You have failed to inspire your readers and their loyalty remains weak.\n\n	Non sei riuscito a ispirare i tuoi lettori e la loro fedeltà resta debole.\n\n
morningstate_createm16	Congratulations, you have completed your second task. The Great and Honorable Leader is pleased.\n\n	Congratulazioni, hai completato il tuo secondo compito. L'Onorevole Leader Supremo è compiaciuto.\n\n
morningstate_createm17	From this point we will withdraw our close oversight.\n\n	D'ora in avanti allenteremo la nostra stretta supervisione.\n\n
morningstate_createm18	Continue to increase readership and maintain the promotion of positive news.	Continua ad aumentare i lettori e mantieni la promozione di notizie positive.
morningstate_createm19_1	You have failed to acquire enough readers with loyalty 	Non sei riuscito ad acquisire abbastanza lettori fedeli
morningstate_createm19_2	. Without a loyal audience, The [GOV] Times has no influence.\n\n	. Senza un pubblico fedele, Il [GOV] Times non ha influenza.\n\n
morningstate_createm20	Good work. The Great and Honorable Leader has been notified of your diligent efforts.\n\n	Ottimo lavoro. L'Onorevole Leader Supremo è stato avvisato dei tuoi sforzi diligenti.\n\n
morningstate_createm21_1	Keep your reader's loyalty at 	Mantieni la fedeltà del lettore a 
morningstate_createm21_2	 or higher.	 o superiore.
morningstate_createm22	You are making good progress.\n\n	Stai facendo ottimi progressi.\n\n
morningstate_createm23_1	Keep working towards a loyalty of 	Continua a lavorare per ottenere una fedeltà di 
morningstate_createm23_2	 or above by the end of day 	 o superiore entro la fine del giorno 
morningstate_createm24	This is not good. Loyalty is dropping.\n	Questo non va bene. La fedeltà sta calando.\n
morningstate_createm25	You must choose positive articles that cast [GOV] in a good light. Try harder.\n\n	Devi scegliere articoli positivi che mettano [GOV] in buona luce. Prova più duramente.\n\n
morningstate_createm26_1	Bring your reader's loyalty to at least 	Porta la fiducia del lettore ad almeno 
morningstate_createm26_2	 by the end of day 	 entro la fine del giorno 
morningstate_createm27	This is not good. Loyalty is not improving.\n	Questo non va bene. La fedeltà non sta crescendo.\n
morningstate_createm28	You must choose positive articles that cast [GOV] in a good light. Try harder.\n\n	Devi scegliere articoli positivi che mettano [GOV] in buona luce. Prova più duramente.\n\n
morningstate_createm29_1	Bring your reader's loyalty to at least 	Porta la fidelizzazione del lettore ad almeno 
morningstate_createm29_2	 by the end of day 	 entro la fine del giorno 
morningstate_createm30_1	Maintain at least 	Raggiungi almeno 
morningstate_createm30_2	 readers.	 lettori.
morningstate_createm31_1	You must have 	Devi avere 
morningstate_createm31_2	 or more readers by the end of day 	 o più lettori entro la fine del giorno 
morningstate_createm32	Good morning.\n\n	Buongiorno.\n\n
morningstate_createm33	A drop in reader loyalty has been noted. Try harder.\n\n	È stato notato un calo di fedeltà nei lettori. Prova più duramente.\n\n
morningstate_createm34	We have done it!\n\n	Ce l'abbiamo fatta!\n\n
morningstate_createm35	Thank you my friend! Without your efforts the rebellion would have failed once again. 	Grazie amico mio! Senza i tuoi sforzi la ribellione avrebbe fallito nuovamente. 
morningstate_createm36	A new era for our beloved nation begins!\n\n	Inizia una nuova era per la nostra amata nazione!\n\n
morningstate_createm37	I'm truly sorry that we could not save your family.\n\n	Sono davvero dispiaciuto di non aver potuto salvare la tua famiglia.\n\n
morningstate_createm38	We need someone with your skills to talk with the people. Come back tomorrow for your new position.\n\n	Abbiamo bisogno di qualcuno con le tue capacità per parlare alla gente. Torna domani per la tua nuova posizione.\n\n
morningstate_createm39	Long Live [GOV]!	Lunga vita a [GOV]!
morningstate_createm40	We have reviewed your file.\n\n	Abbiamo rivisto il tuo dossier.\n\n
morningstate_createm41	The Great and Honorable Leader has decided that printed paper is old technology. 	L'Onorevole Leader Supremo ha deciso che la carta stampata è tecnologia antiquata.
morningstate_createm42	The Ministry of Media will be moving to focus on online communications.\n\n	Il Ministro dei Media si trasferirà per concentrarsi sulle comunicazioni online.\n\n
morningstate_createm43_1	Let's Go!	Andiamo!
morningstate_createm43_2	Accept Fate	Accetta Destino
morningstate_createm43_3	Start Work	Inizia Lavoro
morningstate_createm44	Day	Giorno
morningstate_createm45	by\nLucas Pope\n@dukope	di Lucas Pope @dukope\ntrad. di Chiara Di Modica
morningstate_getperfmsg1	Your performance is: -	Il tuo rendimento è:-
morningstate_getperfmsg2	APPRECIATED	APPREZZATO
morningstate_getperfmsg3	ACCEPTABLE	ACCETTABILE
morningstate_getperfmsg4	MARGINAL	MARGINALE
morningstate_getperfmsg5	UNSATISFACTORY	INSODDISFACENTE
morningstate_getperfmsg6	DISASTROUS	DISASTROSO
morningstate_getperfmsg7	DISASTROUS	DISASTROSO
morningstate_getperfmsg8	DISAPPOINTING	DELUDENTE
morningstate_getfamsg1	Your family 	La tua famiglia 
morningstate_getfamsg2	is receiving excellent treatment.	sta ricevendo un trattamento eccellente.
morningstate_getfamsg3	is being well-cared for.	viene trattata con cura.
morningstate_getfamsg4	lives normally under our care.	vive normalmente sotto le nostre cure.
morningstate_getfamsg5	has lost several privileges.	ha perso numerosi privilegi.
morningstate_getfamsg6	endures daily beatings.	subisce pestaggi quotidiani.
morningstate_getfamsg7	suffers due to your failures.	soffre a causa dei tuoi fallimenti.
morningstate_getfamsg8	is being punished for your poor performance.	viene punita per il tuo scarso rendimento.
morningstate_getutmsg1	Article Size\n\n	Dimensione Articolo\n\n
morningstate_getutmsg2	Larger articles have more influence on your reader's loyalty. 	Articoli più lunghi hanno più influenza sulla fedeltà del lettore. 
morningstate_getutmsg3	Use this to emphasize the stories you want and to downplay unflattering ones.\n	Usa questo per enfatizzare le notizie che vuoi e per sminuire quelle denigranti.
morningstate_getutmsg4	Reader Interest\n\n	Interesse del lettore\n\n
morningstate_getutmsg5	The public is interested in sports, entertainment, and military matters. They are also fascinated by the weather. 	Il pubblico è interessato a sport, intrattenimento e questioni militari. È anche affascinato dal meteo. 
morningstate_getutmsg6	Choose stories on these topics to increase readership.\n	Scegli notizie su questi argomenti per aumentare la tiratura.\n
morningstate_getutmsg7	Article Positioning\n\n	Collocazione Articolo\n\n
morningstate_getutmsg8	Article placement has no effect on loyalty or reader interest. Only the size and content of stories matter. 	La collocazione dell'articolo non ha effetto sulla fedeltà o sull'interesse del lettore. Solo la dimensione e il contenuto delle notizie hanno importanza. 
morningstate_getutmsg9	Use your vast artistic and design experience to arrange articles in a way that pleases you.	 Usa la tua ampia esperienza in arte e design per sistemare gli articoli in maniera che ti soddisfi.
morningstate_getutmsg10	Weather\n\n	Tempo\n\n
morningstate_getutmsg11	The government cannot control the weather yet. As a result, articles about the weather do not affect loyalty.	Il governo non può ancora controllare il tempo. Come risultato, gli articoli sul tempo non influenzano la fedeltà.
morningstate_getutmsg12	Politics\n\n	Politica\n\n
morningstate_getutmsg13	The public finds political stories uninteresting, but positive articles on political subjects can increase loyalty.	Il pubblico trova di poco interesse le notizie politiche, ma gli articoli positivi riguardanti argomenti politici possono aumentare la fedeltà.
morningstate_getutmsg14	Article Size and Reader Interest\n\n	Dimensione Articolo e Interesse del Lettore\n\n
morningstate_getutmsg15	Article size does not affect reader interest. 	La dimensione dell'articolo non influenza l'interesse del lettore. 
morningstate_getutmsg16	If a paper contains articles on interesting topics of any size, readers will be interested.	Se un giornale contiene articoli su argomenti interessanti di qualsiasi dimensione, i lettori saranno interessati.
newsitem_construct1_1	The rebellion has been crushed. Peace returns to all sectors	La rivolta è stata repressa. La pace è tornata in tutti i settori.
newsitem_construct1_2	Rebellion Crushed, Peace Restored!	Rivolta repressa, pace ristabilita!
newsitem_construct2	*** ####....##...####..## ***	*** ####....##...####..## ***
newsitem_construct3	*** Est#blishing secure chan#el. Aw#it further# comm###ication ***	*** St#bilimento di un canale sic#ro. Att#ndere ulteriori# com###cazioni ***
newsitem_construct4	*** #Please hear me. I am Kurstov, leader of#the rebellion. We need your help. ***	*** #Ascoltami per favore. Sono Kurstov, il capo della rivolta. Abbiamo bisogno del tuo aiuto. ***
newsitem_construct5	*** We can rescue your family. Sow disloyalty to strengthen the rebels. You have 4 days. ***	*** Possiamo salvare la tua famiglia. Semina slealtà per rinforzare i ribelli. Hai 4 giorni. ***
newsitem_construct6	*** Please help us. The government's tyranny must end! Place negative articles! ***|*** Your family will soon be safe! Drop the public's loyalty to -30 and get 1000 readers in 3 days! ***|*** It's working! Your efforts have strengthened us unimaginably! ***	*** Per favore aiutaci. La tirannia del governo deve finire! Posiziona articoli negativi! ***|*** La tua famiglia sarà presto al sicuro! Porta la fedeltà del pubblico a -30 e raggiungi 1000 lettori in 3 giorni! ***|*** sta funzionando! I tuoi sforzi ci hanno rinforzato incredibilmente! ***"
newsitem_construct7	*** The government cannot win! Seal their fate! Place negative articles! ***|*** Your family's safety is assured! Convince 1000 readers to be disloyal in 2 days! ***|*** Yes! Our operations are in order. Soon we overthrow! ***	*** Il governo non può vincere! Determina il loro destino! Posiziona articoli negativi! ***|*** La salvezza della tua famiglia sarà assicurata! Convinci 1000 lettori alla slealtà in 2 giorni! ***|*** Sì! Le nostre operazioni sono pronte. Presto trionferemo! ***
newsitem_construct8	*** We have no time! The people must be free! Spread negative news! ***|*** Our time is at hand! Hurry! Get 1000 readers with -30 loyalty by the end of today! ***|*** Oh glorious day! We strike at sundown. Prepare yourself! ***	*** Non abbiamo tempo! La gente deve essere libera! Diffondi notizie negative! ***|*** Il nostro tempo sta per giungere! Sbrigati! Ottieni 1000 lettori con lealtà -30 entro oggi! ***|*** Oh che giorno glorioso! Colpiremo al tramonto. Preparati! ***
newsitem_construct9_1	Terrorist rebel hideout near Central Chem destroyed	Nascondiglio dei ribelli terroristi vicino alla Centrale Chimica distrutto
newsitem_construct9_2	Rebels Routed At Factory!	Ribelli sgominati alla fabbrica!
newsitem_construct10_1	Rebels at Central Chem sabotage important machinary	Ribelli sabotano importante macchinario alla Centrale Chimica
newsitem_construct10_2	Factory Sabotaged!	Fabbrica sabotata!
newsitem_construct11_1	Terrorist 2nd-in-command captured. Renounces fight against [GOV]	Sottocomandante terrorista catturato. Rinuncia al combattimento contro [GOV]
newsitem_construct11_2	Terrorist Leader Buckles!	Leader terrorista cede!
newsitem_construct12_1	Rebels regroup in western towns. Growing in strength and number.	Ribelli si riorganizzano nelle città occidentali. In crescita di forze e numero.
newsitem_construct12_2	Rebels Gaining Support!	I ribelli ottengono supporto!
newsitem_construct13_1	[GOV] forces have destroyed Antegria's illegal satellites	Le forze di [GOV] hanno distrutto i satelliti illegali di Antegria
newsitem_construct13_2	[GOV] Downs Enemy Satellite!	[GOV] abbatte satellite nemico!
newsitem_construct14_1	[GOV] borders have been reinforced with 200,000 additional troops	I confini di [GOV] sono stati rinforzati con 200.000 truppe aggiuntive.
newsitem_construct14_2	Borders Reinforced!	Confini rinforzati!
newsitem_construct15_1	State-of-the-art military spy satellites now used to reduce crime	Satelliti spia militari a regola d'arte ora usati per ridurre il crimine
newsitem_construct15_2	Keeping An Eye On Crime!	Crimine sott'occhio!
newsitem_construct16_1	[GOV] Navy commissions an additional 500 destroyers to patrol coast	Marina di [GOV] invia 500 cacciatorpedinieri aggiuntivi per pattugliare la costa
newsitem_construct16_2	Safeguarding The Coasts!	Salvaguardia delle coste!
newsitem_construct17_1	[GOV] Air Force tactical fighter sets new speed record	I caccia tattici dell'aviazione di [GOV] stabiliscono nuovo record di velocità
newsitem_construct17_2	Faster Fighter Flown!	Volo del caccia più veloce!
newsitem_construct18_1	Multiple terrorist cells in central district foiled in operation	Sventate durante un'operazione numerose celle terroristiche nel distretto centrale
newsitem_construct18_2	Central Terrorists Terminated!	Terroristi del centro sgominati!
newsitem_construct19_1	[GOV] Army 5th Divison shuts down bomb factory in northern mountains	Quinta divisione dell'esercito di [GOV] chiude fabbrica di artiglieria nelle montagne settentrionali
newsitem_construct19_2	Bomb Factory Found, Destroyed!	Trovata fabbrica di artiglieria, distrutta!
newsitem_construct20_1	[GOV] soldiers strongest in the world according to latest tests	I soldati di [GOV] risultano i più forti al mondo secondo recenti test
newsitem_construct20_2	Our Boys Are the Best!	I nostri ragazzi sono i migliori!
newsitem_construct21_1	Peace enforcement squad rounds up 200 terrorist rebels	Truppa Peace-enforcement accerchia 200 ribelli terroristi
newsitem_construct21_2	Peace Restored, Rebels Captured!	Pace ristabilita, ribelli catturati!
newsitem_construct22_1	40,000 gallons of military gasoline stolen from western bases	150.000 litri di carburante militare rubati da basi occidentali
newsitem_construct22_2	Military Gas Gone!	Carburante militare sparito!
newsitem_construct23_1	Critical oil fields in the north have been sabotaged	Giacimenti petroliferi critici sabotati al nord
newsitem_construct23_2	Pipelines Crippled!	Oleodotti manomessi!
newsitem_construct24_1	Terrorist bomb explodes on northern bay ferry. 600 people missing	Bomba terrorista esplode su nave in golfo settentrionale. 600 persone disperse
newsitem_construct24_2	Explosion Rocks The Seas!	Esplosione sconvolge i mari!
newsitem_construct25_1	[GOV] Air Force tactical fighter test flight ends in crash. Crew lost	Test di volo di caccia tattico dell'aviazione di [GOV] finisce in schianto. Equipaggio disperso
newsitem_construct25_2	Futuristic Fight Crashes, Burns!	Schianto caccia futuristico, in fiamme!
newsitem_construct26_1	[GOV] Navy identifies critical fault in all operational submarines	Marina di [GOV] identifica errore critico in operazioni subacquee
newsitem_construct26_2	Our Subs Are Faulty!	I nostri sottomarini sono difettosi!
newsitem_construct27_1	The top general in charge of southern forces has died suddenly	Il generale capo responsabile delle forze meridionali muore all'improvviso
newsitem_construct27_2	General Dies Overnight!	Generale muore durante la notte!
newsitem_construct28_1	Antegria secret code remains unbreakable. Top [GOV] minds are flumoxed	Il codice segreto di Antegria resta indecodificabile. I vertici di [GOV] sono confusi
newsitem_construct28_2	The Enemy's Unbreakable Code!	Il codice inviolabile del nemico!
newsitem_construct29_1	Tank production falls behind schedule. Poor factory conditions blamed	Produzione di carri armati in ritardo. Incolpate le scarse condizioni della fabbrica
newsitem_construct29_2	Tanking Tanks!	Carri armati silurati!
newsitem_construct30_1	Worldwide survey finds [GOV] soldiers worst trained, with worst aim	Sondaggi mondiali rivelano che i soldati di [GOV] ricevono il peggiore addestramento e hanno la mira peggiore
newsitem_construct30_2	Our Boys Can't Fire Straight!	I nostri ragazzi non sparano dritto!
newsitem_construct31_1	Antegria Navy sinks [GOV] battleship off eastern coast	Nave di Antegria affonda la corazzata di [GOV] sulla costa orientale
newsitem_construct31_2	[GOV] Battleship Bested!	Corazzata di [GOV] battuta!
newsitem_construct32_1	The Honorable and Great Leader awarded Lifetime Glory medal	L'Onorevole Leader Supremo insignito della medaglia alla gloria a vita
newsitem_construct32_2	A Lifetime of Glory!	Una vita di gloria!
newsitem_construct33_1	Agricultural output from the farming sector doubles for 10th straight month	Produzione agricola del settore coltivazioni raddoppia per il decimo mese consecutivo
newsitem_construct33_2	More Corn Than Air!	Più granturco che aria!
newsitem_construct34_1	Income reallocation scheme contributes 400 million to schools. Proves system works	Schema di ridistribuzione delle entrate stanzia 400 milioni per le scuole. Dimostrazione dell'efficienza del sistema
newsitem_construct34_2	Education Spending Up!	Spesa in crescita per le scuole!
newsitem_construct35_1	Latest polls show broad satisfaction with government leaders	Ultimi sondaggi dimostrano diffusa soddisfazione nei confronti dei leader del governo
newsitem_construct35_2	Politics Polls Positive!	Sondaggi politici positivi!
newsitem_construct36_1	Newest regional administrator fights for worker's rights	Neo eletto amministratore regionale lotta per i diritti dei lavoratori
newsitem_construct36_2	Power To The People!	Potere alla gente!
newsitem_construct37_1	Party officials have voted to adjust ration quotas for all orphans	Esponenti di partito hanno votato per regolare le quote di razioni per gli orfani
newsitem_construct37_2	Less Food For Orphans	Meno cibo per gli orfani!
newsitem_construct38_1	The Honorable and Great Leader photographed in women's clothes	L'Onorevole Leader Supremo fotografato in abiti da donna
newsitem_construct38_2	Great Leader, In A Dress!	Leader: Supremo in quel vestito!
newsitem_construct39_1	30,000 teachers and academics reassigned to more useful labor tasks	30.000 insegnanti e accademici riassegnati a incarichi di manovalanza più utili
newsitem_construct39_2	Educators Punished For Being Smart!	Educatori puniti perché brillanti!
newsitem_construct40_1	Local citizen council votes will be eliminated in favor of suggestive comments	Voti del consiglio cittadino locale verranno eliminati in favore di commenti propositivi
newsitem_construct40_2	Local Councils Lose Vote!	Il consiglio locale perde il voto!
newsitem_construct41_1	Yearly donations to the state must increase to support growing government oversight	Donazioni annuali allo stato devono aumentare per supportare la crescente vigilanza del governo
newsitem_construct41_2	Taxes Rise For 8th Year!	Tasse in aumento per l'ottavo anno!
newsitem_construct42_1	Weather: Skies and temperatures will remain calm today	Meteo: Cieli sereni e temperature miti in giornata
newsitem_construct42_2	Another Sunny Day!	Un altro giorno assolato!
newsitem_construct43_1	Weather: Storms predicted to wash western coast out to sea	Meteo: Temporali previsti dalla costa occidentale al mare
newsitem_construct43_2	Western Storms Threaten Coast!	Temporali occidentali minacciano la costa!
newsitem_construct44_1	Weather: Forecast expects heavy rains in the north and east	Meteo: Le previsioni annunciano piogge massicce al nord e all'est
newsitem_construct44_2	Showers Rain Down!	Abbondanti rovesci!
newsitem_construct45_1	Weather: Expect unseasonal snow in the south	Meteo: Possibilità di neve fuori stagione al sud
newsitem_construct45_2	Blizzard Incoming?	Tormenta in arrivo!
newsitem_construct46_1	Weather: Sunny morning and cloudy evening for the day	Meteo: Oggi mattinata soleggiata e serata nuvolosa
newsitem_construct46_2	Warm To Cloudy!	Da mite a nuvoloso!
newsitem_construct47_1	Weather: Light showers throughout the day	Meteo: Leggere precipitazioni per tutto il giorno
newsitem_construct47_2	Warm To Cloudy This Week!	Da mite a nuvoloso questa settimana!
newsitem_construct48_1	Weather: Hurricane-level winds spotted off eastern coast	Meteo: Venti di potenza uragano individuati al largo della costa orientale
newsitem_construct48_2	Eastern Hurricanes Return!	Tornano gli uragani dell'est!
newsitem_construct49_1	Weather: Clear skies and no sign of rain	Meteo: Cieli tersi e nessun segno di precipitazioni
newsitem_construct49_2	Another Dry Day!	Un altro giorno asciutto!
newsitem_construct50_1	Weather: Freezing sleet and snow expected in northern mountains	Meteo: Nevischio e neve attesi sulle montagne del nord
newsitem_construct50_2	Buckle Down For Ice!	Pronti per il ghiaccio!
newsitem_construct51_1	Weather: Tropical breezes blow across southeastern coast	Meteo: Brezza tropicale soffia sulla costa sudorientale
newsitem_construct51_2	Sea Breeze Incoming!	Brezza marina in arrivo!
newsitem_construct52_1	[GOV] National Team has won the global football tournament	La Nazionale di [GOV] ha vinto il torneo mondiale di calcio
newsitem_construct52_2	[GOV] Wins Football Crown!	A [GOV] la corona per il calcio!
newsitem_construct53_1	Antegria ski team soundly defeated by [GOV] crew	La squadra sciistica di Antegria sconfitta sonoramente dalla squadra di [GOV]
newsitem_construct53_2	[GOV] Defeats Antegria Skiers!	[GOV] sconfigge gli sciatori di Antegria!
newsitem_construct54_1	Tennis star Restojiu powers through semifinal brackets	Stella del tennis Restojiu si fa strada nel girone di semifinale
newsitem_construct54_2	Tennis Star Advances!	Stella del tennis in salita!
newsitem_construct55_1	Young [GOV] atheletes dominate track and field. May win Olympic gold	I giovani atleti di [GOV] dominano la pista e il campo. Potrebbero vincere l'oro olimpico
newsitem_construct55_2	Our Young Heroes!	I nostri giovani eroi!
newsitem_construct56_1	Skilled [GOV] baseball team finishes record season. Thanks Leader for support	La qualificata squadra di baseball di [GOV] termina una stagione record. Grazie Leader per il supporto
newsitem_construct56_2	Baseball Success Sealed!	Successo assicurato nel baseball!
newsitem_construct57_1	Championship weight lifter Lekshou retires due to crippling injury	Il campione di sollevamento pesi Lekshou si ritira a causa di un infortunio alla gamba
newsitem_construct57_2	Muscleman Retires!	Il Forzuto si ritira!
newsitem_construct58_1	[GOV] National Football Team has lost the regional finals to Antegria	Nazionale di [GOV] ha perso le finali regionali contro Antegria
newsitem_construct58_2	[GOV] Football Stumbles!	I calciatori di [GOV] inciampano!
newsitem_construct59_1	Entire [GOV] National Hockey team killed in plane crash	Intera squadra nazionale di hockey di [GOV] uccisa in un incidente aereo
newsitem_construct59_2	Tragedy Strikes Hockey!	Tragedia colpisce l'hockey!
newsitem_construct60_1	Athletic training in [GOV] is years behind the competition	L'allenamento atletico in [GOV] è anni in ritardo rispetto alle competizioni
newsitem_construct60_2	Our Athletes: Behind The Curve?	I nostri atleti: dietro la curva?
newsitem_construct61_1	National kayaking team has defected to Antegria	Squadra nazionale di kayak diserta a favore di Antegria
newsitem_construct61_2	Kayaking For The Enemy!	In Kayak per il nemico!
newsitem_construct62_1	Cherrywood's newest stars attended recent gala ball to honor verterans	Le nuove stelle di Cherrywood partecipano a ballo di gala per omaggiare i veterani
newsitem_construct62_2	Stars Dance For Vets!	Le stelle ballano per i veterani!
newsitem_construct63_1	New fall TV programming will focus on [GOV]'s rebuilding	Nuova programmazione TV autunnale focalizzerà sulla ricostruzione di [GOV]
newsitem_construct63_2	Fall TV Revealaed!	Programmazione TV autunnale rivelata!
newsitem_construct64_1	""Beloved children's book \Mumpit Mush\"""" finally coming to the big screen""""""	Amato libro per bambini “Mumpit Mush” finalmente in arrivo sul grande schermo
newsitem_construct64_2	Mumpit Mush Is Coming!	Mumpit Mush in arrivo!
newsitem_construct65_1	Superstars Chad and Jenlyn preparing for Cherrywood wedding tomorrow	Super VIP Chad e Jenlyn si preparano per matrimonio domani a Cherrywood
newsitem_construct65_2	C&J To Tie the Knot!	C e J pronti per il grande passo!
newsitem_construct66_1	Superstars Chad and Jenlyn marry in extravagant festival	Super VIP Chad e Jenlyn si sposano durante festival stravagante
newsitem_construct66_2	C&J Finally Hitched!	C e J finalmente sposi!
newsitem_construct67_1	\My butt is not too fat	Il mio culo non è troppo grasso
newsitem_construct67_2	Butt Within Spec!	Culo a norma!
newsitem_construct68_1	Reality star Mestonda found dead from apparent overdose	Stella dei reality Mestonda trovata morta per apparente overdose
newsitem_construct68_2	Reality Star Overdoses!	Stella del reality in overdose!
newsitem_construct69_1	Fashion designer CrevyCrevy has defected to Antegria	Fashion designer CrevyCrevy diserta a favore di Antegria
newsitem_construct69_2	Fashion Icon Defects!	Icona della moda diserta!
newsitem_construct70_1	Mega-group HugginBoyz admits to not singing on any albums, can barely dance	Il super gruppo HugginBoyz ammette di non aver cantato in nessun album, sa a malapena ballare
newsitem_construct70_2	HugginBoyz: Talentless After All!	HugginBoyz: senza talento!
newsitem_construct71_1	Superstars Chad and Jenlyn file for divorce. Both claim infidelity	Super VIP Chad e Jenlyn pronti a divorziare. Entrambi ammettono infedeltà
newsitem_construct71_2	C&J Fairytale Ends!	La fiaba di C e J volge al termine!
newsitem_isweather	Weather:	Meteo:
nightstate_create1	Go to Sleep	Vai a dormire
nightstate_create2	Today's issue has been printed and distributed.\n\nRESULTS\n\n	L'edizione di oggi è stata stampata e distribuita.\n\nRISULTATI\n\n
nightstate_create3	Loyalty	Fedeltà
nightstate_create4	Readership	Lettori
nightstate_formatres	   (no change)	   (nessuna modifica)
paper_update	 [G] 	 [G]
playstate_create1	End Day	Fine\nGiorno
playstate_create2	Drag Articles\nto Paper	Trascina gli articoli\nsul giornale
playstate_create3	News Feed	Notiziario
playstate_update1	The day is over. There is no more time. We must send to print immediately.	La giornata è terminata. Non c'è altro tempo. Dobbiamo andare in stampa immediatamente.
playstate_update2	Send to Print	Stampa
readership_tostr1	L:	F:
readership_tostr2	R:	L:
readership_aplpapsum1	* The paper is blank. Money was saved on ink, but you have lost many readers.\n	* Il giornale è vuoto. Hai risparmiato sull'inchiostro, ma perso molti lettori.\n
readership_aplpapsum2	* There are too few articles. You have lost readers.\n	* Ci sono troppi pochi articoli. Hai perso lettori.\n
readership_aplpapsum3	* There are not enough interesting articles. You have lost readers.\n	* Non ci sono abbastanza articoli interessanti. Hai perso lettori.\n
readership_aplpapsum4	* There are many interesting articles. You have gained readers.\n	* Ci sono abbastanza articoli interessanti. Hai guadagnato lettori.\n
readership_aplpapsum5	* The included articles have increased your readership's loyalty to the government.\n	* Gli articoli inclusi hanno aumentato la fedeltà dei tuoi lettori al governo.\n
readership_aplpapsum6	* The included articles have decreased your readership's loyalty to the government.\n	* Gli articoli inclusi hanno diminuito la fedeltà dei tuoi lettori al governo.\n
readership_aplpapsum7	* The paper's increasing readership has expanded its influence.\n	* La tiratura in crescita del giornale ha aumentato la sua influenza.\n
readership_aplpapsum8	* The paper's decreasing readership has reduced its influence.\n	* La tiratura in calo del giornale ha diminuito la sua influenza.\n
statmeters_construct1	Loyalty	Fedeltà
statmeters_construct2	Readers	Lettori
